record_type,algorithm,x,y,parameter,response,split
hero,Proposed,1,0.72,,,
hero,Proposed,2,0.78,,,
hero,Proposed,3,0.84,,,
hero,Proposed,4,0.88,,,
hero,Proposed,5,0.91,,,
hero,Adaptive,1,0.68,,,
hero,Adaptive,2,0.73,,,
hero,Adaptive,3,0.77,,,
hero,Adaptive,4,0.81,,,
hero,Adaptive,5,0.84,,,
hero,Baseline,1,0.62,,,
hero,Baseline,2,0.65,,,
hero,Baseline,3,0.69,,,
hero,Baseline,4,0.71,,,
hero,Baseline,5,0.73,,,
residual,Proposed,1,-0.04,,,
residual,Proposed,2,0.02,,,
residual,Proposed,3,-0.01,,,
residual,Proposed,4,0.03,,,
residual,Proposed,5,-0.02,,,
residual,Adaptive,1,0.07,,,
residual,Adaptive,2,-0.05,,,
residual,Adaptive,3,0.04,,,
residual,Adaptive,4,-0.03,,,
residual,Adaptive,5,0.06,,,
sensitivity,,,0.10,0.18,
sensitivity,,,0.25,0.35,
sensitivity,,,0.40,0.49,
sensitivity,,,0.55,0.58,
sensitivity,,,0.70,0.63,
