record_type,id,x,y,x2,y2,path_id,order,role
node,S,0.5,0.5,,,,,start
node,A,1.8,1.2,,,,,
node,B,2.5,2.6,,,,,
node,C,3.8,1.9,,,,,
node,D,4.8,3.1,,,,,
node,T,6.1,2.4,,,,,end
edge,E1,0.5,0.5,1.8,1.2,,,
edge,E2,1.8,1.2,2.5,2.6,,,
edge,E3,2.5,2.6,3.8,1.9,,,
edge,E4,3.8,1.9,4.8,3.1,,,
edge,E5,4.8,3.1,6.1,2.4,,,
edge,E6,1.8,1.2,3.8,1.9,,,
obstacle,O1,2.7,0.8,3.5,1.5,,,
obstacle,O2,4.2,2.1,5.0,2.8,,,
path,P1,0.5,0.5,,,route-1,1,
path,P1,1.8,1.2,,,route-1,2,
path,P1,2.5,2.6,,,route-1,3,
path,P1,3.8,1.9,,,route-1,4,
path,P1,4.8,3.1,,,route-1,5,
path,P1,6.1,2.4,,,route-1,6,
path,P2,0.5,0.5,,,route-2,1,
path,P2,1.8,1.2,,,route-2,2,
path,P2,3.8,1.9,,,route-2,3,
path,P2,6.1,2.4,,,route-2,4,
